Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,30.6,37.9,25,1013.9,39,0,4,4.6,11.1,-,,,,
2,30.3,38.2,23.5,1013.2,37,0,4,5.6,14.8,-,,,,
3,29.8,36.8,24.4,1010.9,51,0,4,8.7,18.3,-,,,,
4,29.8,34.1,26,1011.3,68,0,4,5.7,14.8,-,,,,
5,28.8,36.1,23.5,1013.1,59,0,3.7,4.6,14.8,-,,,,
6,29.3,36.4,21.5,1013.7,48,0,3.7,3.1,7.6,-,,,,
7,28.9,34.5,23.1,1013.5,42,0,4,10.6,18.3,-,,,,
8,27.8,33.5,23,1013.3,53,0,3.5,4.3,18.3,-,,,,
9,27.8,34.1,22.5,1013.8,61,0,3.2,4.3,11.1,-,,,,
10,28.2,35.7,22.3,1014.9,37,0,4.5,6.1,11.1,-,,,,
11,26.9,34.8,20.5,1017.8,33,0,4,5.6,11.1,-,,,,
12,25.4,34.5,17.5,1017.3,46,0,3.7,4.6,11.1,-,,,,
13,25.4,32.8,19,1016.2,57,0,4,3.7,11.1,-,,,,
14,26.3,32.5,19.1,1016.3,34,0,4,12.2,22.2,-,,,,
15,25.9,31.5,21.5,1016.4,35,0,4,11.7,14.8,-,,,,
16,25.4,31.7,20.5,1016.9,34,0,4,8.3,11.1,-,,,,
17,24.9,30.4,20,1016.9,34,0,3.7,13.5,22.2,-,,,,
18,24.6,31.5,19.5,1015.3,41,0,2.1,7,11.1,-,,,,
19,24,31.3,16,1015.5,38,0,0.8,7.4,14.8,-,,,,
20,25.7,30.9,21,1016.1,36,0,1.6,13.9,22.2,-,,,,
21,25.1,31.7,20,1015.9,37,0,2.7,11.1,14.8,-,,,,
22,24.9,31.5,16.7,1014.2,49,0,3.2,6.5,14.8,-,,,,
23,25.5,34.2,17.5,1010.8,67,0,2.6,2.2,7.6,-,,,,
24,25.1,31.1,18.5,1013.1,50,0,2.4,12.4,18.3,-,,,,
25,25.7,30.6,19,1013.9,38,0,2.9,14.3,22.2,-,o,,o,
26,21.6,27.5,18,1014.6,60,5.59,4,13.5,22.2,-,o,,o,
27,22.4,28.2,17.5,1014.4,50,0,2.1,12,22.2,-,,,,
28,22.1,28.8,17.5,1014.8,46,0,1.8,9.6,18.3,-,,,,
29,22.5,29.9,15.8,1015.1,45,0,2.9,6.1,11.1,-,,,,
30,22.3,29.5,15.6,1015.8,60,0,2.4,3.7,7.6,-,,,,
,26.1,32.7,20.2,1014.6,46.2,5.59,3.3,7.9,15,,2,0,2,0
