Day,Average Temperature (°C),Maximum temperature (°C),Minimum temperature (°C),Atmospheric pressure at sea level (hPa),Average relative humidity (%),Total rainfall (mm),Average visibility (Km),Average wind speed (Km/h),Maximum sustained wind speed (Km/h),Maximum speed of wind (Km/h),Total days it rained,Total days that snowed,Total days with thunderstorm,Total days with fog,date
1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1-05-1942
2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2-05-1942
3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3-05-1942
4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4-05-1942
5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5-05-1942
6,32.1,33.5,31.3,1001.6,59,0,116.8,33.5,42.4,-,,,,,6-05-1942
7,29.6,32.4,26.8,1001.1,73,0,84.8,27.8,38.9,-,,,,,7-05-1942
8,30.5,33,28,1001.4,71,0,160,18.7,31.3,-,,,,,8-05-1942
9,30.2,32.4,28,1002,69,0,160,20,35.2,-,,,,,9-05-1942
10,29.9,31.9,28,1000.9,72,0,115.9,29.6,38.9,-,,,,,10-05-1942
11,29.8,31.9,28,999.7,72,0,124.1,32.8,42.4,-,,,,,11-05-1942
12,30.2,31.8,28.5,1000,70,0,72.4,29.3,44.3,-,,,,,12-05-1942
13,30,33.5,27.4,1000.8,74,0,87.5,31.3,44.3,-,,,,,13-05-1942
14,30.6,34.1,28,1000.6,71,0,80.3,17.8,35.2,-,,,,,14-05-1942
15,30.4,36.9,28,1000.6,72,0,151.1,12.4,25.9,-,,,,,15-05-1942
16,30.8,34.1,28,1001.2,68,0,160,15,29.4,-,,,,,16-05-1942
17,30.8,34.6,28,1003.2,64,0,160,15.6,25.9,-,,,,,17-05-1942
18,30.2,33.5,28,1005.1,59,0,151.3,18.7,38.9,-,,,,,18-05-1942
19,30,32.4,27.4,1003.4,69,0,115.2,28.5,40.7,-,,,,,19-05-1942
20,29.7,31.8,28,1001.9,71,0,122,31.7,44.3,-,,,,,20-05-1942
21,30.8,34.6,28,1002.1,69,0,42.2,38,64.8,-,,,,,21-05-1942
22,30.4,32.4,28,1002.3,73,0,49.4,36.7,51.9,-,,,,,22-05-1942
23,30.4,32.4,28,1001.1,76,0,51.5,30.7,44.3,-,,,,,23-05-1942
24,30.1,31.9,28,1000.5,76,0,86.1,38.5,61.1,-,,,,,24-05-1942
25,30.6,33.5,28.5,999.3,77,0,88.7,34.8,42.4,-,,,,,25-05-1942
26,30.7,32.4,28.5,999.5,70,0,106.9,30,40.7,-,,,,,26-05-1942
27,31.1,33.5,28,1002.4,68,0,142.3,28.2,38.9,-,,,,,27-05-1942
28,30.6,34.1,28,1004,69,0,160,29.8,38.9,-,,,,,28-05-1942
29,30.1,32.4,27.4,1003.1,70,0,97.8,35.4,51.9,-,,,,,29-05-1942
30,30.6,33,28.5,1001.7,68,0,87.5,33.7,44.3,-,,,,,30-05-1942
31,30.3,32.4,28.5,1001.2,73,0,133.4,28.3,42.4,-,,,,,31-05-1942
1,30.8,33.0,28.5,1001.4,70.0,0,124.6,28.5,40.7,-,,,,,1-06-1942
2,30.7,33.0,28.5,1001.8,71.0,0,160.0,30.4,44.3,-,,,,,2-06-1942
3,30.7,33.0,28.5,1002.0,70.0,0,106.7,26.5,42.4,-,,,,,3-06-1942
4,30.5,33.0,28.5,1001.3,74.0,0,87.5,33.5,51.9,-,,,,,4-06-1942
5,30.8,33.5,28.0,1001.0,73.0,0,86.7,38.5,57.2,-,,,,,5-06-1942
6,31.1,34.1,28.0,1001.6,71.0,0,62.0,28.2,51.9,-,,,,,6-06-1942
7,31.8,35.2,28.0,1002.7,64.0,0,79.3,24.6,42.4,-,,,,,7-06-1942
8,32.1,36.9,28.5,1001.3,68.0,0,53.9,23.0,38.9,-,,,,,8-06-1942
9,31.5,34.6,28.5,998.4,72.0,0,52.9,23.9,42.4,-,,,,,9-06-1942
10,30.8,33.0,28.5,996.9,74.0,0,51.3,30.0,48.2,-,,,,,10-06-1942
11,30.6,32.4,29.1,998.2,75.0,0,71.0,32.4,44.3,-,,,,,11-06-1942
12,30.4,32.4,29.1,997.0,77.0,0,52.9,31.3,42.4,-,,,,,12-06-1942
13,32.9,37.4,28.5,995.0,62.0,0,34.3,24.1,35.2,-,,,,,13-06-1942
14,32.6,38.0,28.5,996.2,50.0,0,27.0,20.6,31.3,-,,,,,14-06-1942
15,32.8,38.5,26.9,997.9,54.0,0,36.4,14.3,29.4,-,,,,,15-06-1942
16,32.9,38.5,26.8,999.0,56.0,0,45.9,9.4,27.8,-,,,,,16-06-1942
17,32.2,35.8,27.4,997.3,61.0,0,46.2,13.7,31.3,-,,,,,17-06-1942
18,30.9,34.6,26.8,995.3,72.0,0,53.8,25.6,42.4,-,,,,,18-06-1942
19,30.3,34.6,28.5,994.8,78.0,0,44.7,27.2,38.9,-,,,,,19-06-1942
20,30.8,33.5,28.0,994.7,77.0,0,71.5,13.7,29.4,-,,,,,20-06-1942
21,32.2,38.5,29.1,994.1,72.0,0,44.3,15.7,44.3,-,,,,,21-06-1942
22,31.9,38.0,28.0,994.1,75.0,0,80.9,11.1,24.1,-,,,,,22-06-1942
23,31.9,34.6,28.5,994.3,75.0,0,55.7,12.6,29.4,-,,,,,23-06-1942
24,31.1,33.5,29.1,994.7,75.0,0,72.4,20.2,44.3,-,,,,,24-06-1942
25,31.2,32.9,29.6,992.4,73.0,0,51.0,31.3,48.2,-,,,,,25-06-1942
26,31.3,32.4,29.6,990.2,70.0,0,4.7,42.2,51.9,-,,,,,26-06-1942
27,31.2,32.9,29.1,990.6,71.0,0,9.3,35.4,44.3,-,,,,,27-06-1942
28,31.7,34.1,29.6,994.0,70.0,0,11.1,29.8,55.4,-,,,,,28-06-1942
29,30.6,40.2,27.4,995.9,73.0,0,21.2,32.8,42.4,-,,,,,29-06-1942
30,30.2,38.5,27.4,993.1,74.0,0,7.9,33.0,48.2,-,,,,,30-06-1942
1,30.0,38.0,26.9,993.8,75,0.0,9.8,25.4,46.5,-,,,,,1-07-1942
2,30.2,33.5,27.4,997.4,76,0.0,9.5,18.9,38.9,-,,,,,2-07-1942
3,29.9,32.4,28.0,997.1,77,0.0,9.2,32.2,55.4,-,,,,,3-07-1942
4,30.2,34.1,26.9,996.1,75,0.0,9.5,31.5,50.0,-,,,,,4-07-1942
5,30.1,33.0,28.0,996.3,75,0.0,60.2,22.6,37.0,-,,,,,5-07-1942
6,30.2,34.1,26.3,995.1,74,0.0,72.6,19.1,31.3,-,,,,,6-07-1942
7,28.8,30.8,25.8,995.2,81,3.05,11.3,10.4,31.3,-,,,,,7-07-1942
8,27.1,31.8,25.2,996.7,92,0.0,23.8,2.4,16.5,-,,,,,8-07-1942
9,27.3,31.3,24.1,996.6,89,1.02,21.7,4.8,16.5,-,,,,,9-07-1942
10,28.2,32.4,24.6,995.0,88,7.11,9.5,3.9,18.3,-,,,,,10-07-1942
11,27.8,30.8,24.6,995.3,93,72.9,8.2,5.7,18.3,-,,,,,11-07-1942
12,28.6,32.4,24.6,997.8,86,0.0,6.3,2.8,7.6,-,,,,,12-07-1942
13,29.1,32.4,26.8,997.7,86,2.03,6.8,9.1,22.2,-,,,,,13-07-1942
14,29.7,31.9,26.8,998.2,83,2.03,8.0,10.2,25.9,-,,,,,14-07-1942
15,29.1,32.4,26.3,999.1,84,6.1,8.5,8.1,22.2,-,,,,,15-07-1942
16,28.9,31.9,25.8,998.8,86,1.02,9.5,11.9,27.8,-,,,,,16-07-1942
17,29.6,32.4,28.0,996.8,84,0.0,17.4,19.6,35.2,-,,,,,17-07-1942
18,29.8,32.4,28.0,993.2,81,0.0,29.6,22.6,38.9,-,,,,,18-07-1942
19,30.3,33.5,28.0,994.0,77,0.0,9.8,18.7,29.4,-,,,,,19-07-1942
20,30.1,32.4,26.9,996.5,77,0.0,10.1,18.7,29.4,-,,,,,20-07-1942
21,30.2,33.5,26.8,997.0,75,0.0,9.7,20.2,29.4,-,,,,,21-07-1942
22,29.7,32.4,28.5,997.0,77,0.0,10.6,20.9,38.9,-,,,,,22-07-1942
23,28.9,30.8,26.9,997.9,-,0.0,9.0,23.5,42.4,-,,,,,23-07-1942
24,28.1,30.2,26.3,997.2,-,0.0,9.0,27.8,42.4,-,,,,,24-07-1942
25,28.6,31.3,26.9,997.7,-,0.0,12.2,20.9,35.2,-,,,,,25-07-1942
26,28.9,31.3,26.8,998.0,-,0.25,11.3,24.4,40.7,-,,,,,26-07-1942
27,28.4,30.8,26.8,996.3,-,0.0,11.6,26.3,42.4,-,,,,,27-07-1942
28,28.4,30.8,26.8,996.8,-,0.0,34.6,23.5,44.3,-,,,,,28-07-1942
29,28.6,30.8,26.8,996.8,-,0.0,9.2,23.0,38.9,-,,,,,29-07-1942
30,28.4,30.8,26.8,995.6,-,0.0,7.9,23.0,38.9,-,,,,,30-07-1942
31,28.3,30.2,26.3,995.1,-,0.0,8.2,20.7,35.2,-,,,,,31-07-1942
1,28.3,30.2,26.3,995.9,-,0.0,9.0,20.7,37.0,-,,,,,1-08-1942
2,28.5,31.3,26.8,994.6,-,0.0,8.5,28.3,42.4,-,,,,,2-08-1942
3,28.4,32.4,26.8,995.6,-,0.0,9.0,25.9,31.3,-,,,,,3-08-1942
4,28.6,33.5,26.3,996.6,-,0.0,7.9,16.5,29.4,-,,,,,4-08-1942
5,28.5,32.4,26.8,994.4,-,0.0,9.7,18.5,35.2,-,,,,,5-08-1942
6,27.3,34.6,24.6,994.1,-,17.02,8.4,24.8,55.4,-,,,,,6-08-1942
7,26.9,30.2,25.7,998.4,-,1.02,9.3,7.0,16.5,-,,,,,7-08-1942
8,27.3,30.2,25.7,1000.2,-,0.0,9.5,14.1,31.3,-,,,,,8-08-1942
9,27.4,29.6,25.7,999.1,-,0.0,7.9,31.1,48.2,-,,,,,9-08-1942
10,27.3,29.6,25.2,998.6,-,0.0,9.3,31.7,42.4,-,,,,,10-08-1942
11,26.8,29.1,25.2,999.0,-,0.0,9.7,28.5,44.3,-,,,,,11-08-1942
12,26.6,30.2,24.6,998.4,-,0.0,10.3,28.2,42.4,-,,,,,12-08-1942
13,26.8,30.2,24.6,998.4,-,0.0,9.7,24.3,35.2,-,,,,,13-08-1942
14,26.8,30.8,25.2,1000.5,-,0.0,10.9,20.6,33.5,-,,,,,14-08-1942
